simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
0,0,1e-05,7e-06,7.97317e-11,267,94,0.4351074695587158,0.5795464515686035,0.30432748794555664
0,0,1e-05,7e-06,2.28407e-11,3397,1198,1.0308713912963867,2.9765307903289795,0.07018899917602539
0,1,1e-05,7e-06,1.92434e-11,17265,5821,3.007612943649292,18.986140251159668,0.20737290382385254
0,2,1e-05,7e-06,1.93646e-11,34110,11073,8.795397520065308,43.32006311416626,0.5889890193939209
0,3,1e-05,7e-06,1.9374e-11,42137,13630,15.041762113571167,58.70604228973389,0.5351133346557617
1,0,1.0555555555555557e-05,6.5555555555555556e-06,9.40245e-11,279,98,0.7708702087402344,1.1935455799102783,0.06029844284057617
1,0,1.0555555555555557e-05,6.5555555555555556e-06,2.53167e-11,2962,1016,1.4079713821411133,2.5894975662231445,0.06448221206665039
1,1,1.0555555555555557e-05,6.5555555555555556e-06,2.24183e-11,15667,5292,2.8549916744232178,18.499501943588257,0.21443629264831543
1,2,1.0555555555555557e-05,6.5555555555555556e-06,2.24401e-11,31892,10408,8.941838502883911,38.942256927490234,0.44062304496765137
1,3,1.0555555555555557e-05,6.5555555555555556e-06,2.24764e-11,41504,13433,14.017802000045776,71.93130469322205,0.9105494022369385
2,0,1.1111111111111112e-05,6.111111111111111e-06,7.74032e-11,313,108,0.6190488338470459,1.1439056396484375,0.06121110916137695
2,0,1.1111111111111112e-05,6.111111111111111e-06,2.8949e-11,3387,1135,1.6050410270690918,3.7789154052734375,0.09003329277038574
2,1,1.1111111111111112e-05,6.111111111111111e-06,2.71062e-11,17269,5818,3.874826192855835,19.268445014953613,0.21227431297302246
2,2,1.1111111111111112e-05,6.111111111111111e-06,2.70749e-11,33334,10929,9.229596853256226,49.43928027153015,0.49423646926879883
2,3,1.1111111111111112e-05,6.111111111111111e-06,2.71186e-11,43867,14171,18.920421838760376,78.08580660820007,0.7643165588378906
