simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
0,0,8.499999999999999e-05,5.9999999999999995e-05,3.85615e-10,431,138,0.33699822425842285,0.6019384860992432,0.042780399322509766
0,1,8.499999999999999e-05,5.9999999999999995e-05,2.96597e-10,5706,2246,1.7364320755004883,8.335442543029785,0.09119272232055664
0,2,8.499999999999999e-05,5.9999999999999995e-05,2.16413e-10,16592,5898,3.9524385929107666,23.230554819107056,0.22406363487243652
0,3,8.499999999999999e-05,5.9999999999999995e-05,6.46261e-11,36782,12457,8.086251735687256,51.73398733139038,0.4687767028808594
0,4,8.499999999999999e-05,5.9999999999999995e-05,4.31548e-11,79512,26432,19.85644793510437,117.96325397491455,2.046342611312866
1,0,3.9999999999999996e-05,1.4999999999999999e-05,1.13019e-09,129,50,0.5127556324005127,0.9407749176025391,0.05118727684020996
1,1,3.9999999999999996e-05,1.4999999999999999e-05,1.6079e-09,2046,677,1.313117504119873,2.308051586151123,0.0531306266784668
1,2,3.9999999999999996e-05,1.4999999999999999e-05,3.93159e-10,8125,2700,1.8423256874084473,8.720848321914673,0.10460138320922852
1,3,3.9999999999999996e-05,1.4999999999999999e-05,1.10498e-10,22769,7580,4.725390195846558,26.726304531097412,0.25091052055358887
1,4,3.9999999999999996e-05,1.4999999999999999e-05,1.10498e-10,54684,17929,15.229097843170166,0.5345461368560791,0.2322237491607666
