R,D,Analytic,Numerical,Analytic Area,Numerical Area,Mesh Time,TTH Time,nex Time,Num Elements,Num Nodes
1.5e-05,4e-07,3.9703938427462754e-10,1.00707e-10,1.184352528130723e-10,118.317,2.177639961242676,17.39383578300476,0.4865000247955322,19716,9869
1.8750000000000002e-05,4e-07,4.962992303432845e-10,1.26042e-10,1.4804406601634035e-10,147.856,8.382116317749023,22.48165488243103,0.6724350452423096,24018,12020
2.25e-05,4e-07,5.955590764119413e-10,1.51116e-10,1.7765287921960846e-10,177.462,15.01131796836853,27.70842456817627,0.8376607894897461,28706,14364
2.625e-05,4e-07,6.948189224805983e-10,1.76403e-10,2.0726169242287653e-10,207.358,22.896381855010986,34.8252067565918,0.8240981101989746,33590,16806
3e-05,4e-07,7.940787685492551e-10,2.01445e-10,2.368705056261446e-10,236.913,34.25711703300476,41.91258883476257,1.053980827331543,38242,19132
