R,D,Analytic,Numerical,Analytic Area,Numerical Area,Mesh Time,TTH Time,nex Time,Num Elements,Num Nodes
1.5e-05,4e-07,3.9703938427462754e-10,4.13345e-10,1.184352528130723e-10,118.317,6.728851556777954,25.15474247932434,0.4034130573272705,24825,10314
1.8750000000000002e-05,4e-07,4.962992303432845e-10,5.16843e-10,1.4804406601634035e-10,147.854,14.791019439697266,32.47644257545471,0.5388846397399902,30110,12557
2.25e-05,4e-07,5.955590764119413e-10,6.20373e-10,1.7765287921960846e-10,177.46,22.944011688232422,39.67177891731262,0.7105381488800049,36031,15017
2.625e-05,4e-07,6.948189224805983e-10,7.24616e-10,2.0726169242287653e-10,207.358,32.54918169975281,49.368385314941406,0.7487726211547852,42259,17572
3e-05,4e-07,7.940787685492551e-10,8.27973e-10,2.368705056261446e-10,236.916,44.483147382736206,54.87972831726074,1.033243179321289,47852,19981
