test,R,W,TTH time,Gmsh time,Numerical,totaltime
1,0.00001,0.000007,2.16E+03,2163.641007,3.02706E-11,4327.282007
2,1.05555555555556E-05,6.55555555555556E-06,1.14E+03,1137.89700655556,3.18101E-11,2275.79400655556
3,1.11111111111111E-05,6.11111111111111E-06,5.38E+02,537.726006111111,4.37339E-11,1075.45200611111
4,1.16666666666667E-05,5.66666666666667E-06,3.14E+03,3141.07200566667,4.70142E-11,6282.14400566667
5,1.22222222222222E-05,5.22222222222222E-06,1.12E+03,1122.01200522222,6.61452E-11,2244.02400522222
6,1.27777777777778E-05,4.77777777777778E-06,4.89E+03,4885.78400477778,8.35942E-11,9771.56800477778
7,1.33333333333333E-05,4.33333333333333E-06,3.11E+03,3110.05800433333,8.83236E-11,6220.11600433333
8,1.38888888888889E-05,3.88888888888889E-06,1.66E+03,1659.75500388889,1.27496E-10,3319.51000388889
9,1.44444444444444E-05,3.44444444444444E-06,8.85E+02,885.199003444444,1.48017E-10,1770.39800344444
