simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
3,3,1.0306122448979593e-05,6.755102040816327e-06,2.10562e-11,41797,13575,12.925020217895508,55.07939577102661,0.4397413730621338
3,4,1.0306122448979593e-05,6.755102040816327e-06,2.10562e-11,47977,15473,16.868802547454834,0.9136080741882324,0.47636842727661133
4,0,1.0408163265306123e-05,6.673469387755102e-06,9.06405e-11,279,98,0.3861253261566162,0.5785541534423828,0.03856301307678223
4,0,1.0408163265306123e-05,6.673469387755102e-06,2.39706e-11,3063,1050,0.8353610038757324,2.7331135272979736,0.07555890083312988
4,1,1.0408163265306123e-05,6.673469387755102e-06,2.16103e-11,16437,5512,2.8562870025634766,18.042309761047363,0.19028615951538086
4,2,1.0408163265306123e-05,6.673469387755102e-06,2.15914e-11,31927,10394,7.091611623764038,41.01747679710388,0.37313389778137207
4,3,1.0408163265306123e-05,6.673469387755102e-06,2.15651e-11,40534,13129,11.379363059997559,53.68952393531799,0.4073967933654785
4,4,1.0408163265306123e-05,6.673469387755102e-06,2.15651e-11,46993,15177,14.35393762588501,0.9178328514099121,0.4773063659667969
5,0,1.0510204081632654e-05,6.591836734693877e-06,9.27441e-11,279,98,0.3755378723144531,0.537879467010498,0.03883981704711914
5,0,1.0510204081632654e-05,6.591836734693877e-06,2.54237e-11,3332,1152,0.8621628284454346,3.1085472106933594,0.07704401016235352
5,1,1.0510204081632654e-05,6.591836734693877e-06,2.20435e-11,17065,5743,2.9034926891326904,20.256903409957886,0.20124554634094238
5,2,1.0510204081632654e-05,6.591836734693877e-06,2.21815e-11,33084,10800,7.521282911300659,42.97108554840088,0.34328794479370117
5,3,1.0510204081632654e-05,6.591836734693877e-06,2.2171e-11,42197,13667,11.780404806137085,56.8112108707428,0.6792623996734619
5,4,1.0510204081632654e-05,6.591836734693877e-06,2.2171e-11,48013,15547,14.833830118179321,0.8536155223846436,0.41968560218811035
6,0,1.0612244897959184e-05,6.510204081632653e-06,7.87395e-11,293,102,0.3598012924194336,0.5078010559082031,0.035388946533203125
6,0,1.0612244897959184e-05,6.510204081632653e-06,2.68244e-11,3708,1267,0.9134042263031006,3.1561880111694336,0.06426501274108887
6,1,1.0612244897959184e-05,6.510204081632653e-06,2.32089e-11,17441,5860,3.185110330581665,18.585747480392456,0.22962450981140137
6,2,1.0612244897959184e-05,6.510204081632653e-06,2.31942e-11,32859,10729,7.925782918930054,42.23257350921631,0.36014723777770996
6,3,1.0612244897959184e-05,6.510204081632653e-06,2.32382e-11,41764,13537,11.717035293579102,56.51223182678223,0.4440805912017822
6,4,1.0612244897959184e-05,6.510204081632653e-06,2.32382e-11,47792,15421,15.145186185836792,0.876619815826416,0.39777469635009766
