simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
5,0,1.2777777777777779e-05,4.777777777777777e-06,8.33467e-11,433,143,0.829486608505249,1.160219669342041,0.07659769058227539
5,0,1.2777777777777779e-05,4.777777777777777e-06,6.05945e-11,2229,755,1.0442194938659668,2.0895063877105713,0.0576474666595459
5,1,1.2777777777777779e-05,4.777777777777777e-06,4.56994e-11,11023,3710,2.3559694290161133,10.273630142211914,0.14518427848815918
5,2,1.2777777777777779e-05,4.777777777777777e-06,4.4173e-11,29295,9728,7.3128039836883545,34.816521406173706,0.420241117477417
5,3,1.2777777777777779e-05,4.777777777777777e-06,4.41977e-11,44200,14391,14.261947870254517,57.670536518096924,0.454115629196167
6,0,1.3333333333333333e-05,4.333333333333333e-06,1.19695e-10,293,109,0.5224432945251465,0.7860558032989502,0.05679202079772949
6,0,1.3333333333333333e-05,4.333333333333333e-06,9.04363e-11,2470,857,1.3048458099365234,2.142073154449463,0.06036210060119629
6,1,1.3333333333333333e-05,4.333333333333333e-06,5.51324e-11,10220,3450,2.416607618331909,10.19771671295166,0.1484670639038086
6,2,1.3333333333333333e-05,4.333333333333333e-06,5.24332e-11,27247,9045,6.699658393859863,30.78662347793579,0.378568172454834
6,3,1.3333333333333333e-05,4.333333333333333e-06,5.24577e-11,43840,14290,13.415818929672241,57.65925478935242,0.6006467342376709
7,0,1.388888888888889e-05,3.888888888888889e-06,1.41369e-10,233,95,0.9077274799346924,0.9522123336791992,0.0616762638092041
7,0,1.388888888888889e-05,3.888888888888889e-06,1.42315e-10,2632,936,1.3221156597137451,2.2616653442382812,0.06257915496826172
7,1,1.388888888888889e-05,3.888888888888889e-06,6.65159e-11,9643,3245,2.642571210861206,8.480332612991333,0.14499521255493164
7,2,1.388888888888889e-05,3.888888888888889e-06,6.15252e-11,25155,8388,6.924700498580933,25.357173681259155,0.2860143184661865
7,3,1.388888888888889e-05,3.888888888888889e-06,6.15252e-11,43048,14096,14.188424110412598,0.8587315082550049,0.2697751522064209
8,0,1.4444444444444446e-05,3.4444444444444444e-06,1.45133e-10,364,129,0.36031651496887207,0.6177370548248291,0.050551414489746094
8,0,1.4444444444444446e-05,3.4444444444444444e-06,1.15561e-10,2301,779,1.1512794494628906,1.8629546165466309,0.05913877487182617
8,1,1.4444444444444446e-05,3.4444444444444444e-06,7.94812e-11,8652,2922,2.2927284240722656,7.8069493770599365,0.11296200752258301
8,2,1.4444444444444446e-05,3.4444444444444444e-06,7.32667e-11,23541,7860,6.311023235321045,23.13203239440918,0.2807435989379883
8,3,1.4444444444444446e-05,3.4444444444444444e-06,7.29692e-11,40936,13433,12.328250646591187,48.839279651641846,0.4265096187591553
9,0,1.5e-05,3e-06,1.69488e-10,265,104,0.36330747604370117,0.9214532375335693,0.05293869972229004
9,0,1.5e-05,3e-06,2.57206e-10,2835,992,2.0179054737091064,2.1986427307128906,0.06904363632202148
9,1,1.5e-05,3e-06,9.64957e-11,8589,2886,2.5586304664611816,7.78275728225708,0.13482666015625
9,2,1.5e-05,3e-06,8.78504e-11,20879,6991,5.5166497230529785,18.522953271865845,0.25580835342407227
9,3,1.5e-05,3e-06,8.73262e-11,38436,12653,11.211528062820435,43.65405774116516,0.4292161464691162
