simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
16,2,5e-06,1.7099759466766982e-05,3.17892e-11,100739,32309,20.3416850566864,216.67320275306702,1.7550711631774902
17,0,5e-06,2.1323881050462326e-05,1.88707e-09,53,23,0.2836918830871582,0.7212629318237305,0.06572723388671875
17,0,5e-06,2.1323881050462326e-05,1.78013e-10,1637,552,1.2043132781982422,2.5205750465393066,0.05639505386352539
17,1,5e-06,2.1323881050462326e-05,5.10295e-11,17746,6038,3.0108938217163086,23.240213871002197,0.20286774635314941
17,2,5e-06,2.1323881050462326e-05,3.0376e-11,105900,34183,21.34963893890381,216.92173886299133,1.880861520767212
18,0,5e-06,2.659147948472494e-05,1.44826e-09,57,24,0.365480899810791,0.7360029220581055,0.046059608459472656
18,0,5e-06,2.659147948472494e-05,3.70047e-10,1091,373,0.6909177303314209,2.2451868057250977,0.052252769470214844
18,1,5e-06,2.659147948472494e-05,7.81125e-11,13668,4671,2.561784029006958,19.066076517105103,0.1714935302734375
18,2,5e-06,2.659147948472494e-05,3.27965e-11,84280,27401,17.003140449523926,186.0843551158905,1.4564075469970703
19,0,5e-06,3.3160322903377764e-05,1.87415e-09,57,24,0.2898375988006592,0.6975913047790527,0.05224776268005371
19,0,5e-06,3.3160322903377764e-05,3.96967e-10,6435,2590,4.30150294303894,10.907666444778442,0.1154487133026123
19,1,5e-06,3.3160322903377764e-05,7.62513e-11,71004,25755,18.579039335250854,142.5294167995453,1.0504655838012695
20,0,5e-06,4.135185542000143e-05,7.15601e-10,30,19,0.2935178279876709,0.44295763969421387,0.04330754280090332
20,0,5e-06,4.135185542000143e-05,2.77947e-09,81881,39615,1294.2215478420258,198.59312081336975,1.6056029796600342
